ip,abuseConfidenceScore,levels
82.178.158.171,0,AbuseIPDB
10.126.175.11,0,AbuseIPDB
10.126.175.10,0,AbuseIPDB
192.82.134.30,0,AbuseIPDB
13.107.236.7,0,AbuseIPDB
204.14.183.7,0,AbuseIPDB
150.171.21.7,0,AbuseIPDB
208.84.5.7,0,AbuseIPDB
82.178.158.181,0,AbuseIPDB
172.64.33.191,0,AbuseIPDB
208.67.222.222,0,AbuseIPDB
198.41.0.4,0,AbuseIPDB
202.12.31.53,0,AbuseIPDB
13.107.236.5,0,AbuseIPDB
129.227.236.51,0,AbuseIPDB
13.107.236.6,0,AbuseIPDB
204.74.108.1,0,AbuseIPDB
199.180.180.63,0,AbuseIPDB
192.168.198.34,0,AbuseIPDB
193.0.9.10,0,AbuseIPDB
129.227.144.43,0,AbuseIPDB
128.1.227.171,0,AbuseIPDB
128.1.227.173,0,AbuseIPDB
156.59.104.19,0,AbuseIPDB
129.227.236.54,0,AbuseIPDB
156.59.104.21,0,AbuseIPDB
129.227.236.50,0,AbuseIPDB
208.84.5.6,0,AbuseIPDB
129.227.144.42,0,AbuseIPDB
156.59.104.18,0,AbuseIPDB
156.59.164.146,0,AbuseIPDB
150.171.21.6,0,AbuseIPDB
128.1.227.170,0,AbuseIPDB
129.227.236.53,0,AbuseIPDB
129.227.65.158,0,AbuseIPDB
156.59.104.22,0,AbuseIPDB
204.14.183.6,0,AbuseIPDB
92.223.104.15,0,AbuseIPDB
216.239.32.10,0,AbuseIPDB
172.64.53.21,0,AbuseIPDB
216.239.34.10,0,AbuseIPDB
172.64.52.210,0,AbuseIPDB
216.239.38.10,3,AbuseIPDB
216.239.36.10,0,AbuseIPDB
213.251.188.144,0,AbuseIPDB
203.119.42.53,0,AbuseIPDB
204.14.183.9,0,AbuseIPDB
10.126.240.24,0,AbuseIPDB
172.64.49.209,0,AbuseIPDB
117.135.128.235,0,AbuseIPDB
1.12.0.4,3,AbuseIPDB
1.12.0.1,0,AbuseIPDB
111.206.98.235,0,AbuseIPDB
216.239.36.108,1,AbuseIPDB
193.8.194.3,0,AbuseIPDB
83.233.26.30,0,AbuseIPDB
2.22.230.65,0,AbuseIPDB
