IP Address          Confidence Score    Levels         
-------------------------------------------------------
131.196.120.138     12.5                1              
1.13.3.234          25.0                1, 2           
103.109.182.241     25.0                1, 2           
103.109.181.68      25.0                1, 2           
100.29.192.12       12.5                1              
101.36.106.134      37.5                1, 2, 3        
101.36.108.175      50.0                1, 2, 3, 4     
101.36.108.9        37.5                1, 2, 3        
101.36.119.146      50.0                1, 2, 3, 4     
101.64.229.35       25.0                1, 2           
